from,to,weight
France,Cameroon,0.000130055
France,Algeria,0.001575219
France,Morocco,0.000918325
France,Tunisia,0.000370405
France,Coted'Ivoire,0.000227171
France,Mali,0.000252755
France,Guinea,0.000242422
France,Benin,0.000276395
France,Togo,0.000207894
France,Niger,0.000159142
France,Mauritania,0.000180191
France,CapeVerde,0.00054807
France,Martinique,9.10E-05
France,Cuba,0.000240607
France,Guadeloupe,9.66E-05
France,StMaarten(DutchPart),0.000393972
France,FrenchGuiana,8.30E-05
France,Chile,0.001980883
France,USA,0.001306548
France,Canada,0.000379439
France,China,0.004925941
France,France,0.186053385
France,Germany,0.006330724
France,Poland,0.002672201
France,Norway,0.358462173
France,Netherlands,0.017478756
France,UnitedKingdom,0.144876993
France,Belgium,0.268036137
Switzerland,Kenya,0.234445187
Switzerland,Germany,0.292348748
Switzerland,UnitedKingdom,0.467395972
Switzerland,Switzerland,0.005810094
Seychelles,UnitedArabEmirates,1
UnitedArabEmirates,Seychelles,0.001722744
UnitedArabEmirates,India,0.173159062
UnitedArabEmirates,Bangladesh,0.025125085
UnitedArabEmirates,Pakistan,0.035859339
UnitedArabEmirates,IranIslamicRepublicof,0.10495786
UnitedArabEmirates,Indonesia,0.071006855
UnitedArabEmirates,Thailand,0.02416317
UnitedArabEmirates,Philippines,0.0302125
UnitedArabEmirates,Germany,0.003117131
UnitedArabEmirates,Bahrain,0.004844754
UnitedArabEmirates,SaudiArabia,0.033653398
UnitedArabEmirates,SyrianArabRepublic,0.005067767
UnitedArabEmirates,Oman,0.006147626
UnitedArabEmirates,Yemen,0.007916078
UnitedArabEmirates,Qatar,0.281514996
UnitedArabEmirates,Lebanon,0.065066776
UnitedArabEmirates,Australia,0.126464858
Madagascar,France,1
EquatorialGuinea,EquatorialGuinea,0.103854649
EquatorialGuinea,Spain,0.896145351
Congo,France,1
Angola,Angola,0.211500198
Angola,Germany,0.788499802
Cameroon,Belgium,0.453195784
Cameroon,France,0.546804216
CongoDemocraticRepublicof,CongoDemocraticRepublicof,0.266200386
CongoDemocraticRepublicof,Belgium,0.733799614
Gabon,France,1
Chad,France,1
Spain,EquatorialGuinea,0.008352756
Spain,Ecuador,0.015696019
Spain,Bolivia,0.011096664
