,from,to,weight,effdistance
595,Poland,Norway,0.0033529470000000002,6.698
596,Poland,Italy,0.013310902,5.319
597,Poland,France,0.014137351999999999,5.259
598,Poland,UnitedKingdom,0.007469328000000001,5.897
599,Oman,UnitedArabEmirates,0.38546823,1.953
600,Oman,Oman,0.61453177,1.487
601,Romania,Italy,0.504862185,1.683
602,Romania,Germany,0.11949092,3.125
603,Romania,Romania,0.0015189379999999998,7.49
604,Romania,Hungary,0.374127957,1.983
605,Bulgaria,Bulgaria,0.986591143,1.013
606,Bulgaria,Germany,0.013408857,5.312
607,CzechRepublic,Turkey,0.461147125,1.774
608,CzechRepublic,Austria,0.536352087,1.623
609,CzechRepublic,Germany,0.002500788,6.991
610,Slovakia,Turkey,0.704685135,1.35
611,Slovakia,Austria,0.295314865,2.22
612,Hungary,Germany,0.009665116,5.639
613,Hungary,Romania,0.105113834,3.253
614,Hungary,Poland,0.274358358,2.293
615,Hungary,Sweden,0.114328549,3.169
616,Hungary,Belgium,0.221917649,2.505
617,Hungary,UnitedKingdom,0.274616494,2.292
618,Ukraine,Austria,0.552305101,1.594
619,Ukraine,Germany,0.32949376399999997,2.11
620,Ukraine,RussianFederation,0.118201135,3.135
621,MoldovaRepublicof,Germany,1.0,1.0
622,Denmark,Poland,0.06879560900000001,3.677
623,Denmark,Denmark,0.5877443729999999,1.531
624,Denmark,Germany,0.286720813,2.249
625,Denmark,FaroeIslands,0.005141678,6.27
626,Denmark,Norway,0.051597527000000004,3.964
627,Belarus,Austria,1.0,1.0
628,Norway,Norway,0.90459774,1.1
629,Norway,Germany,0.000104301,10.168
630,Norway,Poland,0.01407817,5.263
631,Norway,Denmark,0.027059825,4.61
632,Norway,France,0.054159962,3.916
633,Sweden,Sweden,0.639258122,1.447
634,Sweden,Germany,0.099103035,3.312
635,Sweden,Hungary,0.261638843,2.341
636,IrelandRepublicof,UnitedKingdom,0.386308159,1.951
637,IrelandRepublicof,Portugal,0.613691841,1.488
638,FaroeIslands,Denmark,0.738335251,1.303
639,FaroeIslands,Iceland,0.261664749,2.341
640,Portugal,IrelandRepublicof,0.007552512,5.886
641,Portugal,Germany,0.098714334,3.316
642,Portugal,Portugal,0.893733153,1.112
643,Lithuania,Spain,0.9852221059999999,1.015
644,Lithuania,Germany,0.014777894,5.215
645,Latvia,Germany,1.0,1.0
646,Estonia,Finland,1.0,1.0
647,Greece,Germany,0.131897221,3.026
648,Greece,Greece,0.40304625,1.909
649,Greece,Finland,0.077427729,3.558
650,Greece,Austria,0.3876288,1.948
651,Serbia,Germany,0.656816425,1.42
652,Serbia,Montenegro,0.343183575,2.069
653,Croatia,Germany,1.0,1.0
654,Gibraltar,UnitedKingdom,1.0,1.0
655,Slovenia,Germany,1.0,1.0
656,Malta,Germany,1.0,1.0
657,BosniaandHerzegovina,Germany,1.0,1.0
658,MacedoniaFormerYugoslavRepublicof,Austria,1.0,1.0
659,Montenegro,Serbia,1.0,1.0
660,Albania,Austria,1.0,1.0
661,Luxembourg,Germany,1.0,1.0
662,Australia,Australia,0.991715825,1.008
663,Australia,Singapore,0.003533397,6.645
664,Australia,UnitedArabEmirates,6.659999999999999e-05,10.617
665,Australia,Qatar,0.000135637,9.906
666,Australia,NewZealand,0.003413727,6.68
667,Australia,Vanuatu,0.000366305,8.912
668,Australia,Samoa,0.0007685360000000001,8.171
669,NewZealand,USA,0.000323544,9.036
670,NewZealand,NewZealand,0.907787149,1.097
671,NewZealand,Singapore,0.002492292,6.995
672,NewZealand,Australia,0.089397015,3.415
673,PapuaNewGuinea,PapuaNewGuinea,0.9114991659999999,1.093
674,PapuaNewGuinea,Singapore,0.088500834,3.425
675,Fiji,USA,1.0,1.0
676,NewCaledonia,Japan,1.0,1.0
677,Vanuatu,Australia,1.0,1.0
678,Guam,Japan,1.0,1.0
679,Palau,KoreaRepublicof,1.0,1.0
680,NorthernMarianaIslands(exceptGuam),Japan,1.0,1.0
681,Samoa,Australia,1.0,1.0
682,FrenchPolynesia,USA,1.0,1.0
683,CookIslands,USA,1.0,1.0
