,from,to,weight,effdistance
133,Reunion,France,0.699149238,1.358
134,Uganda,Netherlands,1.0,1.0
135,Turkey,Djibouti,0.002539816,6.976
136,Turkey,LibyanArabJamahiriya,0.002617946,6.945
137,Turkey,Egypt,0.011694265,5.449
138,Turkey,Brazil,0.015789437,5.148
139,Turkey,Turkmenistan,0.001015066,7.893
140,Turkey,IranIslamicRepublicof,0.044340700999999996,4.116
141,Turkey,Afghanistan,0.003792045,6.575
142,Turkey,Germany,0.014752612,5.216
143,Turkey,Turkey,0.6924022259999999,1.368
144,Turkey,Iraq,0.004631484,6.375
145,Turkey,Georgia,0.000873703,8.043
146,Turkey,Cyprus,0.000995526,7.912
147,Turkey,SaudiArabia,0.027008239,4.612
148,Turkey,Azerbaijan,0.001464818,7.526
149,Turkey,Netherlands,0.172464476,2.758
150,Turkey,CzechRepublic,0.001241188,7.692
151,Turkey,Slovakia,0.002376451,7.042
152,Rwanda,Belgium,1.0,1.0
153,Kenya,Kenya,0.2057833,2.581
154,Kenya,Germany,0.583936635,1.538
155,Kenya,Switzerland,0.210280065,2.559
156,Malawi,SouthAfrica,1.0,1.0
157,Zambia,UnitedKingdom,0.040389286,4.209
158,Zambia,SouthAfrica,0.9596107140000001,1.041
159,UnitedKingdom,Zambia,0.0060497319999999995,6.108
160,UnitedKingdom,SouthAfrica,0.003995665,6.523
161,UnitedKingdom,Ghana,0.002470496,7.003
162,UnitedKingdom,SierraLeone,0.0018734429999999998,7.28
163,UnitedKingdom,Nigeria,0.0026140210000000002,6.947
164,UnitedKingdom,USA,0.018971597,4.965
165,UnitedKingdom,Canada,0.026512946000000003,4.63
166,UnitedKingdom,HongKong(SAR)China,0.007459492,5.898
167,UnitedKingdom,India,0.021350714,4.847
168,UnitedKingdom,Malaysia,0.014424301,5.239
169,UnitedKingdom,IrelandRepublicof,0.009081457,5.702
170,UnitedKingdom,Gibraltar,0.0005440530000000001,8.516
171,UnitedKingdom,Spain,0.235895623,2.444
172,UnitedKingdom,UnitedKingdom,0.189033777,2.666
173,UnitedKingdom,Germany,0.077345552,3.559
174,UnitedKingdom,France,0.012644195,5.371
175,UnitedKingdom,Switzerland,0.114799414,3.165
176,UnitedKingdom,Netherlands,0.239920153,2.427
177,UnitedKingdom,Poland,0.008708064,5.744
178,UnitedKingdom,Hungary,0.006305303000000001,6.066
179,Mauritius,France,1.0,1.0
180,France,Mauritius,0.000195735,9.539
181,France,Reunion,0.000148075,9.818
182,France,Madagascar,9.4e-05,10.272
183,France,Congo,0.0007521610000000001,8.193
184,France,Gabon,0.000163327,9.72
185,France,Chad,0.000150288,9.803
186,France,Cameroon,0.000130055,9.948
187,France,Algeria,0.0015752189999999999,7.453
188,France,Morocco,0.000918325,7.993
189,France,Tunisia,0.000370405,8.901
190,France,Coted'Ivoire,0.000227171,9.39
191,France,Mali,0.000252755,9.283
192,France,Guinea,0.000242422,9.325
193,France,Benin,0.000276395,9.194
194,France,Togo,0.00020789400000000003,9.478
195,France,Niger,0.000159142,9.746
196,France,Mauritania,0.00018019099999999998,9.621
197,France,CapeVerde,0.00054807,8.509
198,France,Martinique,9.1e-05,10.305
199,France,Cuba,0.000240607,9.332
200,France,Guadeloupe,9.66e-05,10.245
201,France,StMaarten(DutchPart),0.000393972,8.839
202,France,FrenchGuiana,8.3e-05,10.397
203,France,Chile,0.0019808829999999997,7.224
204,France,USA,0.001306548,7.64
205,France,Canada,0.000379439,8.877
206,France,China,0.004925941,6.313
207,France,France,0.186053385,2.682
208,France,Germany,0.006330724,6.062
209,France,Poland,0.002672201,6.925
210,France,Norway,0.358462173,2.026
211,France,Netherlands,0.017478756,5.047
212,France,UnitedKingdom,0.144876993,2.932
213,France,Belgium,0.268036137,2.317
214,Switzerland,Kenya,0.234445187,2.451
215,Switzerland,Germany,0.292348748,2.23
216,Switzerland,UnitedKingdom,0.46739597200000005,1.761
217,Switzerland,Switzerland,0.005810094,6.148
218,Seychelles,UnitedArabEmirates,1.0,1.0
219,UnitedArabEmirates,Seychelles,0.001722744,7.364
220,UnitedArabEmirates,India,0.173159062,2.754
221,UnitedArabEmirates,Bangladesh,0.025125085,4.684
222,UnitedArabEmirates,Pakistan,0.035859339,4.328
223,UnitedArabEmirates,IranIslamicRepublicof,0.10495786,3.254
224,UnitedArabEmirates,Indonesia,0.071006855,3.645
225,UnitedArabEmirates,Thailand,0.02416317,4.723
226,UnitedArabEmirates,Philippines,0.0302125,4.499
227,UnitedArabEmirates,Germany,0.003117131,6.771
228,UnitedArabEmirates,Bahrain,0.004844754000000001,6.33
229,UnitedArabEmirates,SaudiArabia,0.033653398,4.392
230,UnitedArabEmirates,SyrianArabRepublic,0.005067767,6.285
231,UnitedArabEmirates,Oman,0.006147626,6.092
232,UnitedArabEmirates,Yemen,0.007916078,5.839
233,UnitedArabEmirates,Qatar,0.281514996,2.268
234,UnitedArabEmirates,Lebanon,0.06506677599999999,3.732
235,UnitedArabEmirates,Australia,0.126464858,3.068
236,Madagascar,France,1.0,1.0
237,EquatorialGuinea,EquatorialGuinea,0.10385464900000001,3.265
238,EquatorialGuinea,Spain,0.8961453509999999,1.11
239,Congo,France,1.0,1.0
240,Angola,Angola,0.211500198,2.554
241,Angola,Germany,0.788499802,1.238
242,Cameroon,Belgium,0.453195784,1.791
243,Cameroon,France,0.5468042160000001,1.604
244,CongoDemocraticRepublicof,CongoDemocraticRepublicof,0.266200386,2.324
245,CongoDemocraticRepublicof,Belgium,0.733799614,1.31
246,Gabon,France,1.0,1.0
247,Chad,France,1.0,1.0
248,Spain,EquatorialGuinea,0.008352756,5.785
249,Spain,Ecuador,0.015696019,5.154
